keyword,대분류,중분류,소분류,세분류,세세분류,Feature,synonyms,hyperonym,타사전추가여부,coupang_link,추가일자,보관냉동,보관냉장,보관실온
메밀 냉면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,냉면류,"차가운 국물 최적, 담백함, 질긴식감, 구수함, 국물용, 한식",,냉면,,,,90,7,
밀면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,냉면류,"부드럽고 탄성, 쫄깃함, 매끄러움, 국물용, 한식",,냉면,,,,90,7,
쫄면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,냉면류,"탱탱하고 쫄깃, 노란색, 굵은면, 비빔용, 한식",쫄면사리,,,,,90,7,
납작당면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,당면,"넓고 투명, 쫄깃함, 전분질, 양념흡수, 찜용, 중식",중국당면,당면,,,,,,
당면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,당면,"고구마전분 기반, 쫄깃함, 투명함, 매끄러움, 잡채용, 한식","불린당면, 건당면, 마른 당면",,,,2026-09-07,,,
두부면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,대체면,"고단백, 저탄수, 담백함, 툭툭끊김, 다이어트, 건강식","두유면, 콩담백면",,,,2026-09-07,,7,
곤약면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,대체면,"저칼로리, 투명, 매끄러움, 수분많음, 탱글함, 다이어트",,,,,,,30,
애호박면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,대체면,"채소기반, 저탄수, 아삭함, 수분많음, 건강식, 볶음용",,,,,,,,
젤라틴,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,응고제,동물성 응고제,"투명, 탄성, 응고제, 무향, 디저트용, 조리보조","판젤라틴, 가루젤라틴, 가루 젤라틴",,,,2026-09-07,,,365
만두피,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(피/피대체),만두피,"얇고 쫄깃, 하얀색, 밀가루베이스, 속채움용, 조리필요",왕만두피,,,,2026-09-07,60,5,
메밀면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,메밀면,"담백, 글루텐프리, 구수함, 회색, 국물용, 비빔용","메밀국수, 메밀두유면",,,,2026-09-07,90,30,
묵가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,응고제,묵베이스,"찰짐, 묵용, 가루류, 응고용, 전분질, 한식","묵분말, 도토리묵가루, 도토리가루",,,,2026-09-07,,,365
파운드케이크시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,묵직 단일 시트,"버터함유, 묵직, 단맛, 진한맛, 고소함, 디저트용",,,,,,30,,
춘권피,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(피/피대체),밀피,"얇고 바삭, 밀가루베이스, 튀김용, 싸먹는용, 바삭함",,,,,,60,5,
비스킷시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,바삭형 시트,"단단, 바삭, 고소함, 달콤함, 묵직함, 디저트용",,,,,,30,7,
쿠키시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,바삭형 시트,"바삭, 토핑용, 달콤함, 고소함, 입자감, 디저트용",,,,,,30,7,
타르트시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,바삭형 시트,"바삭, 충전용, 고소함, 단단함, 담백함, 디저트용",,,,,,30,5,
파이지,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,바삭형 시트,"얇고 바삭, 여러겹, 버터풍미, 고소함, 베이킹용",,,,,,30,5,
박력분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,제분가루,박력분,"부드러움, 쿠키용, 가루류, 저글루텐, 제과용, 튀김옷용",박력밀가루,밀가루,,,,,,180
쌀떡,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,범용 떡류,"쫀득, 국/구이/조림용, 하얀색, 담백함, 점성있음, 한식",,떡,,,,90,5,
밀떡,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,범용 떡류,"글루텐, 단단함, 매끄러움, 하얀색, 떡볶이용, 한식",,떡,,,,90,5,
떡,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,범용 떡류,"쫀득, 다양용도, 쫄깃함, 쌀베이스, 고체형, 한식","떡사리, 찹쌀떡, 송편",,,,2026-09-07,90,5,
면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,범용면,"담백함, 매끄러움, 밀가루베이스, 조리필요, 주식","국수, 냉면",,,,2026-09-07,90,30,
호밀빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,범용빵,"기본빵, 포괄적, 고소함, 거친식감, 짙은색, 건강식, 식사빵",호밀식빵,,,,2026-09-07,30,,3
베이킹파우더,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,팽창제,복합 팽창제,"산+염기 혼합, 팽창제, 가루류, 조리보조, 무취",,,,,,,,365
우리밀부침가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,부침믹스,"국산밀, 바삭, 고소함, 짭짤함, 가루류, 전용믹스, 한식",국산부침가루,,,,,,,180
감자부침가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,부침믹스,"감자베이스, 바삭, 쫄깃함, 고소함, 가루류, 전용믹스",,,,,,,,180
부침가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,부침믹스,"밀베이스, 바삭, 짭짤함, 감칠맛, 가루류, 전용믹스, 한식","쌀부침가루, 메밀부침가루",,,,2026-09-07,,,180
빵가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,토핑가루,빵가루,"바삭, 흡유성, 고소함, 입자감, 튀김옷용, 조리보조",,,,,,60,,30
칡전분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,전분류,뿌리 전분,"한방, 묵용, 가루류, 갈색, 점성있음, 건강식",칡녹말,전분가루,,,,,,365
칼국수면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,생면류,"넓고 부드러움, 쫄깃함, 가루묻음, 국물용, 한식",칼국수,,,,2026-09-05,90,5,
생면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,생면류,"즉석 조리용, 부드러움, 쫄깃함, 신선함, 다용도면",,,,,,90,,
우동면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,생면류,"두껍고 부드러움, 오동통함, 매끄러움, 국물용, 볶음용","우동사리, 우동, 사누끼우동면",,,,2026-09-07,90,7,
떡볶이떡,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,소형 떡류,"매운 양념 최적, 쫄깃함, 쫀득, 하얀색, 핑거푸드, 한식",조랭이떡,떡,,,2026-09-07,90,7,
옹심이,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,소형 떡류,"동그랗고 찰짐, 전분질, 쫀득, 국물용, 강원도풍","옹심이떡, 새알심",떡,,,,90,3,
빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,소형빵,"둥글고 부드러움, 폭신함, 담백함, 하얀색, 베이킹용","소금빵, 치아바타빵, 잡곡빵",빵,,,2026-09-07,30,,3
롤빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,소형빵,"달콤, 부드러움, 폭신함, 돌돌말린, 디저트용",,빵,,,,30,,3
우유빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,소형빵,"샌드형, 부드러움, 고소함, 우유향, 하얀색, 식사빵",,빵,,,,30,,3
모닝빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,소형빵,"속채움용, 부드러움, 담백함, 동그란형, 식사빵",모닝롤,빵,,,,30,,3
샐러드빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,소형빵,"버터향, 부드러움, 고소함, 촉촉함, 속채움용",사라다빵,빵,,,,,,
슈시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,속비움 충전용 시트,"속비움, 크림충전용, 가벼움, 바삭함, 부드러움, 디저트용",,,,,,30,,
제누아즈,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,스펀지형 시트,"폭신, 크림충전, 달콤함, 부드러움, 케이크용, 디저트용",,,,,,30,,
카스텔라시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,스펀지형 시트,"달콤, 폭신, 고소함, 촉촉함, 노란색, 디저트용",,,,,,30,,
스펀지케이크,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,스펀지형 시트,"가벼움, 층쌓기용, 달콤함, 폭신함, 케이크용, 디저트용",,,,,,30,,
핫케이크시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,스펀지형 시트,"폭신, 단일사용, 달콤함, 고소함, 브런치용, 노란색",,,,,,30,,
바닐라시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,스펀지형 시트,"기본향, 부드러움, 바닐라향, 달콤함, 케이크용, 디저트용",,,,,,30,,
버터롤,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,식빵류,"사각형, 얇음, 고소함, 버터풍미, 부드러움, 식사빵",버터롤빵,,,,,30,3,3
식빵,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,식빵류,"얇고 부드러움, 담백함, 하얀색, 슬라이스용, 샌드위치용","식빵시트, 샌드위치빵, 통밀식빵, 쌀식빵, 잡곡식빵, 통식빵",,,,2026-09-07,30,3,3
쌀국수면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,쌀면,"담백, 글루텐프리, 투명함, 매끄러움, 동남아풍, 국물용",쌀국수,,,,2026-09-07,,,180
찹쌀 국수,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,쌀면,"쫀득, 국물용, 하얀색, 점성있음, 이색면, 한식",찹쌀면,,,,,,,180
멥쌀 국수,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,쌀면,"부드럽고 담백, 하얀색, 매끄러움, 국물용, 한식",,,,,,,,180
라이스페이퍼,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(피/피대체),쌀피,"투명하고 찰짐, 얇음, 싸먹는용, 동남아풍, 간편식",쌀종이,,,,2026-09-07,,,
롤케이크시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,얇은 겹침용 시트,"말기 용이, 부드러움, 유연함, 달콤함, 폭신함, 디저트용",,,,,,30,,
크레이프시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,얇은 겹침용 시트,"얇고 유연, 고소함, 여러겹, 부드러움, 디저트용",,,,,,30,,
떡국떡,재료,베이킹·제면·디저트용 재료,조리완성형 재료,떡류,얇은 떡류,"얇고 납작, 국물용, 하얀색, 쫄깃함, 쌀베이스, 한식",,떡,,,,90,7,
타피오카가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,전분류,열대작물 전분,"쫀득, 투명, 가루류, 점성강함, 열대작물, 디저트부재료",타피오카전분,전분가루,,,,,,180
와플베이스,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(베이스),와플반죽,"바삭, 틀사용, 달콤함, 고소함, 격자무늬, 디저트용",,,,,,30,3,
날콩가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,원물가루,"콩향, 단단, 고소함, 가루류, 비린맛, 가열용, 한식부재료",생콩가루,,,,,90,30,30
표고버섯가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,원물가루,"풍미가루, 감칠맛, 가루류, 버섯향, 진한맛, 조리보조, 천연조미료",표고분말,,,,,180,90,90
녹두가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,원물가루,"고소, 담백, 가루류, 전분질, 녹두베이스, 부침용, 한식",녹두분말,,,,,,,180
전분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,전분류,일반 전분,"투명화, 농도조절, 가루류, 무향, 끈기있음, 조리보조, 점성강함","녹말, 전분가루, 전분물, 녹말가루, 변성전분",,,,2026-09-07,,,180
샤를로트케이크시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,장식용 시트,"장식용, 단단, 달콤함, 폭신함, 케이크용, 디저트용, 바삭함",,,,,,30,,
콜리플라워 도우,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(베이스),저탄수 반죽,"채소베이스, 피자용, 담백함, 저탄수, 건강식, 다이어트, 구이용",,,,,,30,3,
프레첼,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,절단형빵,"길고 단단, 짭짤함, 고소함, 갈색, 식사빵, 간식용",프레즐,빵,,,,30,3,3
치아바타,재료,베이킹·제면·디저트용 재료,완제품/준완제품,빵류,절단형빵,"넓고 쫄깃, 담백함, 식사빵, 샌드위치용, 발효향, 하얀색",치아바타 빵,빵,,,2026-09-07,30,3,3
밀가루풀,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,베이스류,접착베이스,"끈적, 농도조절, 액상, 점성강함, 접착용, 한식부재료, 무향",밀풀,,,,,,,
젤리시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,젤리/투명 시트,"투명, 쫀득, 응고제, 무향, 탱글함, 디저트용, 조리보조",,,,,,30,,
라면사리,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,조리면류,"즉석조리, 튀김면, 쫄깃함, 짭짤함, 기름짐, 국물용, 간편식",,,,,,,,180
비빔면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,조리면류,"양념 비빔 최적, 쫄깃함, 매끄러움, 새콤달콤, 빠른조리, 간편식",,,,,,,,180
사리면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,조리면류,"곁들임용, 일반, 쫄깃함, 담백함, 빠른조리, 국물용, 간편식","사리, 면사리",,,,2026-09-07,,,180
중력분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,제분가루,중력분,"일반용, 다용도, 가루류, 밀가루베이스, 담백함, 조리보조, 하얀색",중력밀가루,밀가루,,,,,,180
밀가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,제분가루,중력분,"표준용, 다용도, 가루류, 밀가루베이스, 담백함, 조리보조, 하얀색","소맥분, 밀, 찰밀가루",,,,2026-09-07,,,180
도삭면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,중식면,"두껍고 납작, 쫄깃함, 거친식감, 중식, 국물용, 볶음용",,,,,,30,,
중화면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,중식면,"기름 코팅, 쫄깃, 노란색, 매끄러움, 중식, 국물용, 볶음용",중식면,,,,,30,,
브라우니시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,진한맛 시트,"쫀득, 진한맛, 달콤함, 초콜릿향, 꾸덕함, 묵직함, 디저트용",,,,,,30,,
초코시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,진한맛 시트,"쌉쌀, 다용도, 달콤함, 초콜릿향, 폭신함, 케이크용, 디저트용",,,,,,30,,
찹쌀풀,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,베이스류,찹쌀베이스,"접착, 찰짐, 액상, 점성강함, 한식부재료, 찹쌀베이스, 끈기있음",,,,,,,,
감자전분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,전분류,채소 전분,"부드러움, 응고, 가루류, 점성강함, 투명화, 농도조절, 조리보조","감자녹말, 감자전분가루",전분가루,,,2026-09-07,,,180
고구마전분,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,전분류,채소 전분,"쫀득함, 묽음, 가루류, 점성강함, 투명화, 농도조절, 조리보조",고구마녹말,전분가루,,,,,,180
호밀사워종,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,발효제,천연 발효종,"산미, 숙성, 발효향, 시큼함, 천연발효, 베이킹용, 액상",사워도우,,,,,30,,
발효종,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,발효제,천연 발효종,"깊은 풍미, 발효향, 천연발효, 베이킹용, 효모, 액상","천연발효종, 르방",,,,2026-09-07,30,,
통밀가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,제분가루,통밀분,"고소, 식이섬유, 가루류, 거친식감, 갈색, 건강식, 베이킹용",전립분,,,,,90,60,180
치킨튀김가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,튀김믹스,"바삭, 고소, 가루류, 짭짤함, 감칠맛, 전용믹스, 튀김용",치킨파우더,,,,,90,90,180
튀김가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,튀김믹스,"가벼움, 바삭, 가루류, 짭짤함, 감칠맛, 전용믹스, 튀김용",쌀 튀김가루,,,,2026-09-07,90,90,180
페투치네,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,파스타면,"넓고 납작, 쫄깃함, 파스타면, 서양식, 크림소스최적, 조리필요",페투치니,,,,2026-09-07,,,
파스타면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,파스타면,"건조, 다양형태, 쫄깃함, 단단함, 서양식, 다용도면, 조리필요","스파게티면, 통밀스파게티, 백밀스파게티, 스파게티, 카펠리니, 링귀니면, 카펠리니면, 통밀파스타, 페투치네면",,,,2026-09-07,,,
마카로니,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,파스타면,"짧고 튜브형, 쫄깃함, 파스타면, 서양식, 샐러드용, 그라탕용",,,,,,,,
라자냐 면,재료,베이킹·제면·디저트용 재료,조리완성형 재료,면류,파스타면,"판형, 층쌓기용, 쫄깃함, 파스타면, 서양식, 오븐요리용",,,,,,,,
팬케이크가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,믹스가루,팬케이크믹스,"달콤, 부드러움, 가루류, 고소함, 전용믹스, 브런치용","팬케익믹스, 핫케이크가루",,,,,90,90,180
팬케이크베이스,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(베이스),팬케이크반죽,"부드럽고 달콤, 액상, 고소함, 촉감부드러움, 브런치용",,,,,,30,2,
프렌치토스트베이스,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(베이스),프렌치토스트용,"계란함유, 구이용, 액상, 고소함, 부드러움, 브런치용",,,,,,30,2,
도우,재료,베이킹·제면·디저트용 재료,조리완성형 재료,반죽류(베이스),피자용 반죽,"쫄깃, 발효향, 밀가루베이스, 피자용, 폭신함, 조리필요",피자도우,,,,,30,3,
누룩,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,발효제,한식 발효제,"당화용, 전통, 발효된 맛, 한식부재료, 쿰쿰함, 발효향",,,,,,90,30,90
콩가루시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,향 특화 시트,"고소, 특유풍미, 견과류향, 단맛, 묵직함, 디저트용",,,,,,30,5,
콩시트,재료,베이킹·제면·디저트용 재료,조리완성형 재료,시트류,향 특화 시트,"고소, 단단, 견과류향, 단맛, 바삭함, 디저트용",,,,,,30,5,
코코아파우더,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,향미가루,"초콜릿향, 쌉쌀, 가루류, 단맛, 짙은갈색, 베이킹용, 토핑용","코코아가루, 무가당 코코아파우더, 무가당 코코아 파우더",,,,2026-09-07,90,90,365
말차가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,향미가루,"녹차향, 씁쓸, 가루류, 초록색, 떫은맛, 베이킹용, 토핑용","가루녹차, 말차파우더, 말차 파우더",,,,2026-09-07,90,30,180
캐롭가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,향미가루,"초콜릿 대체, 가루류, 단맛, 고소함, 건강식, 베이킹용",,,,,,90,90,180
카카오가루,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,가루류,향미가루,"쌉쌀, 진한향, 가루류, 초콜릿향, 짙은갈색, 베이킹용, 토핑용",카카오파우더,카카오,,,,90,90,365
베이킹소다,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,팽창제,화학 팽창제,"산반응, 무취, 팽창제, 가루류, 조리보조, 하얀색",식소다,,,,,,,365
이스트,재료,베이킹·제면·디저트용 재료,조리보조 기능성 재료,발효제,효모,"팽창력, 특유향, 효모, 발효용, 베이킹용, 조리보조","효모, 인스턴트 드라이이스트, 드라이이스트, 드라이 이스트, 인스턴트드라이이스트",,,,2026-09-07,90,30,180
각얼음,재료,빙재료,조리용 얼음류,조리용 얼음류,,"냉각, 고체형, 차가움, 무향, 투명함, 음용전용",,얼음,,,,30,-,-
살얼음,재료,빙재료,조리용 얼음류,조리용 얼음류,,"냉각, 입자감, 차가움, 부드러움, 투명함, 국물용",,얼음,,,,10,-,-
얼음,재료,빙재료,조리용 얼음류,조리용 얼음류,,"냉각, 중립맛, 차가움, 투명함, 다용도",,,,,,30,-,-
건과일,재료,식재료 원물,과일류,과일,가공과일,"단맛, 과일향, 보존성, 쫄깃함, 말린것, 디저트용, 토핑용",드라이후르츠,,,,,90,60,180
건포도,재료,식재료 원물,과일류,과일,가공과일,"단맛, 식감추가, 쫄깃함, 말린것, 포도향, 베이킹용, 토핑용",,포도,,,,90,60,180
건크렌베리,재료,식재료 원물,과일류,과일,가공과일,"단맛, 신맛, 과일향, 쫄깃함, 빨간색, 말린것, 베이킹용",건크랜베리,,,,2026-09-07,90,60,180
배즙,재료,식재료 원물,과일류,과일,가공과일,"단맛, 신맛, 과일향, 액상, 맑음, 한식부재료, 연육작용",,,,,,90,14,
곶감,재료,식재료 원물,과일류,과일,가공과일,"단맛, 신맛, 과일향, 꾸덕함, 주황색, 쫄깃함, 한식디저트",,,,,,90,14,5
레몬제스트,재료,식재료 원물,과일류,과일,가공과일,"산미, 향긋함, 노란색, 시트러스향, 토핑용, 풍미보강",,레몬,,,,30,5,
라임즙,재료,식재료 원물,과일류,과일,가공과일,"산미, 향긋함, 액상, 시트러스향, 소스용, 잡내제거",,라임,,,,90,14,
피단,재료,식재료 원물,육류/수산/달걀,달걀/난류,가공란류,"감칠맛, 고단백, 가공란, 특수풍미, 저탄수, 탱글함, 중식",송화단,,,,,-,30,14
패티,재료,식재료 원물,육류/수산/달걀,가공육,가공육류,"감칠맛, 고기향, 다짐육, 고체형, 기름짐, 구이용, 서양식",고기패티,,,,,60,3,-
떡갈비,재료,식재료 원물,육류/수산/달걀,가공육,가공육류,"감칠맛, 달콤함, 고기향, 쫄깃함, 짭짤함, 구이용, 한식",,,,,,60,4,-
콩고기,재료,식재료 원물,육류/수산/달걀,가공육,가공육류,"고소함, 식감추가, 단백질, 식물성, 다이어트, 건강식, 볶음용","콩미트, 식물성고기",-,,,,60,5,-
비지,재료,식재료 원물,두류/콩류,가공콩류,가공콩류,"고소함, 부드러움, 식이섬유, 콩베이스, 거친식감, 국물용, 한식",콩비지,-,,,,30,2,
팥빙수용 단팥,재료,식재료 원물,두류/콩류,가공콩류,가공콩류,"단맛, 질감, 식감추가, 꾸덕함, 팥베이스, 디저트용, 토핑용",,팥,,,,90,10,
콩조림,재료,식재료 원물,두류/콩류,가공콩류,가공콩류,"단맛, 짠맛, 식감추가, 짭짤함, 콩베이스, 단단함, 밑반찬",콩자반,콩,,,2026-09-07,90,,
팥앙금,재료,식재료 원물,두류/콩류,두류,가공콩류,"단맛, 페이스트질감, 꾸덕함, 팥베이스, 부드러움, 디저트용",단팥,,,,,90,14,
베이크드빈,재료,식재료 원물,두류/콩류,두류,가공콩류,"단맛, 페이스트질감, 부드러움, 토마토소스, 콩베이스, 서양식","베이크드빈스, 베이크드 빈스, 베이크빈스",,,,2026-09-07,90,,365
콩고기너겟,재료,식재료 원물,두류/콩류,두류,가공콩류,"식물성단백, 고기향, 건강식, 바삭함, 튀김용, 다이어트",,-,,,,60,,
갈가자미,재료,식재료 원물,육류/수산/달걀,생선류,가자미류,"감칠맛, 담백함, 흰살생선, 부드러움, 생선류, 수산물, 가열용",,가자미살,,,,60,2,-
돌가자미,재료,식재료 원물,육류/수산/달걀,생선류,가자미류,"감칠맛, 담백함, 흰살생선, 부드러움, 생선류, 수산물, 가열용",,-,,,,60,2,-
범가자미,재료,식재료 원물,육류/수산/달걀,생선류,가자미류,"감칠맛, 담백함, 흰살생선, 부드러움, 생선류, 수산물, 가열용",,,,,,60,2,-
줄가자미,재료,식재료 원물,육류/수산/달걀,생선류,가자미류,"감칠맛, 담백함, 흰살생선, 부드러움, 생선류, 수산물, 가열용",,-,,,,60,2,-
가재,재료,식재료 원물,육류/수산/달걀,갑각류,가재류,"감칠맛, 식감추가, 단단함, 바다향, 갑각류, 수산물, 고급풍미",민물가재,-,,,,60,2,-
가지,재료,식재료 원물,채소류,열매채소류,가지류,"식감추가, 수분감, 부드러움, 보라색, 채소, 익혀먹는용, 나물용",건가지,,,,2026-09-07,,7,3
동갈치,재료,식재료 원물,육류/수산/달걀,생선류,갈치류,"감칠맛, 지방풍미, 부드러움, 생선류, 수산물, 기름짐, 가열용",,-,,,,60,2,-
알감자,재료,식재료 원물,채소류,뿌리채소류,감자류,"식감추가, 포만감, 담백함, 구황작물, 동그란형, 조림용, 한식",,감자,,,,,30,7
히카마,재료,식재료 원물,채소류,뿌리채소류,감자류,"식감추가, 수분감, 단맛, 아삭함, 채소, 뿌리채소, 생식용",얌빈,,,,,,20,7
돼지감자,재료,식재료 원물,채소류,뿌리채소류,감자류,"식감추가, 은은함, 담백함, 뿌리채소, 건강식, 아삭함",,,,,,,30,7
아피오스감자,재료,식재료 원물,채소류,뿌리채소류,감자류,"식감추가, 은은함, 밤맛, 고소함, 뿌리채소, 포실포실함",,,,,,,30,7
감자,재료,식재료 원물,채소류,뿌리채소류,감자류,"포만감, 담백함, 전분질, 묵직함, 구황작물, 채소, 익혀먹는용","알감자, 햇감자, 홍감자, 찐감자, 감자채, 수미감자, 통감자",감자,,,2026-09-07,,30,14
홍갓,재료,식재료 원물,채소류,잎채소류,갓류,"식감, 신선함, 향긋함, 알싸함, 빨간색, 잎채소, 김치용",,,,,,,5,1
돌산갓,재료,식재료 원물,채소류,잎채소류,갓류,"향긋함, 알싸함, 톡쏘는맛, 잎채소, 김치용, 쌉쌀함",,갓,,,,,5,1
갓,재료,식재료 원물,채소류,잎채소류,갓류,"향긋함, 은은함, 알싸함, 잎채소, 김치용, 한식","홍갓, 돌산갓, 청갓",,,,2026-09-07,,5,1
게장,재료,식재료 원물,육류/수산/달걀,가공육,게류,"짠맛, 감칠맛, 바다향, 짭짤함, 게베이스, 발효된 맛, 밑반찬","간장게장, 양념게장",,,,2026-09-07,60,7,-
새우패티,재료,식재료 원물,육류/수산/달걀,가공육,게류,"해산물향, 짠맛, 식감추가, 다짐육, 바삭함, 튀김용, 새우베이스",,-,,,,60,3,-
참게,재료,식재료 원물,육류/수산/달걀,갑각류,게류,"감칠맛, 바다향, 단단함, 갑각류, 수산물, 국물용, 한식",,-,,,,60,2,-
꽃게,재료,식재료 원물,육류/수산/달걀,갑각류,게류,"감칠맛, 바다향, 식감추가, 단단함, 갑각류, 수산물, 찜용","냉동 꽃게, 냉동꽃게",,,,2026-09-07,60,2,-
대게,재료,식재료 원물,육류/수산/달걀,갑각류,게류,"감칠맛, 바다향, 식감추가, 단단함, 갑각류, 수산물, 찜용",,,,,,60,2,-
홍게,재료,식재료 원물,육류/수산/달걀,갑각류,게류,"감칠맛, 바다향, 식감추가, 단단함, 갑각류, 수산물, 찜용",,,,,,60,2,-
방게,재료,식재료 원물,육류/수산/달걀,갑각류,게류,"감칠맛, 식감추가, 바삭함, 갑각류, 수산물, 조림용, 한식",,-,,,,60,2,-
호두유,재료,식재료 원물,견과/씨앗/고추류,견과류,견과가공류,"고소함, 풍미, 액상, 기름류, 견과류향, 고소함, 조리보조",,,,,,,180,180
